,Month,Year,Type,Area,Sex,Fatal (Y/N)
142,June,2016,Unprovoked,Florida,M,N
143,October,2015,Unprovoked,Florida,M,N
144,July,2015,Unprovoked,Florida,M,N
145,October,2014,Unprovoked,Florida,M,N
146,November,2013,Unprovoked,Florida,M,N
147,September,2013,Unprovoked,Florida,F,N
148,August,2013,Unprovoked,Florida,M,N
149,October,2012,Unprovoked,Hawaii,M,N
150,September,2012,Unprovoked,Florida,M,N
151,May,2012,Unprovoked,California,F,N
152,March,2009,Unprovoked,Florida,F,N
153,September,2008,Unprovoked,Florida,M,N
154,August,2008,Unprovoked,Florida,M,N
155,August,2007,Unprovoked,Florida,M,N
156,September,2006,Unprovoked,Florida,M,N
157,November,2005,Unprovoked,Florida,M,N
158,August,2005,Unprovoked,Texas,M,N
159,August,2005,Unprovoked,North Carolina,M,N
160,April,2005,Unprovoked,Florida,F,N
161,September,2004,Unprovoked,South Carolina,F,N
162,December,2003,Unprovoked,Florida,M,N
163,October,2003,Unprovoked,Florida,M,N
164,October,2003,Unprovoked,Florida,F,N
165,February,2003,Unprovoked,Florida,M,N
166,June,2002,Unprovoked,Florida,M,N
167,May,2002,Provoked,Florida,M,N
168,September,2001,Unprovoked,North Carolina,M,N
169,June,2001,Unprovoked,Texas,M,N
170,March,2001,Unprovoked,Hawaii,M,N
171,June,2000,Unprovoked,Alabama,M,N
172,February,1998,Unprovoked,Florida,M,N
173,July,1995,Unprovoked,Florida,M,N
174,July,1994,Unprovoked,Florida,M,N
175,October,1993,Unprovoked,Florida,F,N
176,December,1992,Unprovoked,Hawaii,M,N
177,July,1990,Unprovoked,Texas,F,N
178,January,1989,Unprovoked,Hawaii,M,N
179,July,1985,Unprovoked,South Carolina,F,N
180,September,1984,Unprovoked,California,M,Y
181,December,1981,Unprovoked,California,M,Y
182,January,1981,Unprovoked,Florida,M,N
183,December,1976,Unprovoked,California,M,N
184,October,1972,Unprovoked,Florida,M,N
185,August,1966,Unprovoked,Florida,M,N
186,August,1964,Unprovoked,Florida,M,N
187,April,1963,Unprovoked,US Virgin Islands,M,Y
188,August,1962,Provoked,California,M,N
189,June,1960,Unprovoked,Florida,M,N
190,June,1958,Unprovoked,Florida,M,N
191,January,2023,Provoked,Florida,M,N
192,August,2022,Unprovoked,Florida,M,N
193,July,2022,Unprovoked,Noirth Carolina,F,N
194,July,2021,Unprovoked,California,F,N
195,June,2021,Unprovoked,Florida,M,N
196,December,2019,Unprovoked,California,M,N
197,July,2019,Unprovoked,Florida,M,N
198,March,2019,Unprovoked,Oregon,M,N
199,January,2019,Unprovoked,California,M,N
200,October,2018,Unprovoked,Florida,M,N
201,August,2016,Unprovoked,Florida,M,N
202,October,2015,Unprovoked,Florida,M,N
203,August,2015,Unprovoked,Florida,F,N
204,July,2014,Provoked,California,M,N
205,December,2013,Unprovoked,Hawaii,M,N
206,September,2013,Unprovoked,Florida,M,N
207,July,2013,Unprovoked,Florida,M,N
208,June,2013,Unprovoked,South Carolina,F,N
209,September,2012,Unprovoked,Florida,M,N
