Datetime,Storm_Status,Latitude,Longitude,Max_Wind,Min_Pressure,Radius_Max_Wind
19540831, HU, 41.3N,  72.0W,100.0,957.0,20.0
19540911, HU, 41.4N,  70.5W,95.0,950.0,25.0
19540911, HU, 41.7N,  70.3W,95.0,952.0,25.0
19540911, HU, 41.9N,  70.1W,90.0,954.0,25.0
19541015, HU, 33.9N,  78.6W,115.0,938.0,20.0
19550812, HU, 34.7N,  76.7W,85.0,962.0,30.0
19550919, HU, 34.7N,  76.7W,90.0,955.0,25.0
19560924, HU, 29.1N,  89.4W,75.0,980.0,20.0
19560925, HU, 30.4N,  86.4W,80.0,974.0,20.0
19570627, HU, 29.8N,  93.7W,110.0,946.0,15.0
19590709, HU, 33.0N,  79.6W,65.0,995.0,20.0
19590725, HU, 29.1N,  95.2W,75.0,980.0,20.0
19590929, HU, 32.5N,  80.4W,115.0,951.0,10.0
19600910, HU, 24.8N,  80.9W,125.0,930.0,20.0
19600910, HU, 25.9N,  81.6W,105.0,942.0,20.0
19600912, HU, 34.6N,  77.3W,90.0,958.0,50.0
19600912, HU, 40.7N,  72.9W,85.0,959.0,50.0
19600912, HU, 41.3N,  72.4W,80.0,962.0,50.0
19600915, HU, 30.4N,  89.0W,70.0,980.0,20.0
19610911, HU, 28.3N,  96.4W,125.0,931.0,20.0
19640827, HU, 25.8N,  80.1W,95.0,968.0,10.0
19640910, HU, 29.9N,  81.3W,95.0,966.0,5.0
19641003, HU, 29.5N,  91.5W,90.0,959.0,35.0
19641014, HU, 25.8N,  81.4W,90.0,970.0,20.0
19650908, HU, 25.0N,  80.5W,100.0,952.0,30.0
19650910, HU, 29.2N,  90.1W,115.0,946.0,30.0
19660609, HU, 30.1N,  84.2W,75.0,977.0,30.0
19661004, HU, 25.0N,  80.5W,85.0,984.0,15.0
19661004, HU, 24.7N,  81.3W,85.0,988.0,20.0
19661005, HU, 24.6N,  81.8W,85.0,988.0,20.0
19670920, HU, 25.9N,  97.2W,110.0,940.0,10.0
19681019, HU, 28.7N,  82.7W,85.0,978.0,10.0
19681020, HU, 34.3N,  76.6W,75.0,985.0,10.0
19690818, HU, 30.3N,  89.4W,150.0,900.0,5.0
19700803, HU, 27.8N,  97.1W,120.0,944.0,10.0
19830818, HU, 29.1N,  95.1W,100.0,962.0,10.0
19840913, HU, 33.9N,  78.0W,80.0,979.0,15.0
19850725, HU, 32.2N,  80.5W,65.0,1003.0,20.0
19850815, HU, 29.6N,  92.7W,80.0,987.0,15.0
19850902, HU, 30.4N,  89.2W,100.0,959.0,10.0
19850927, HU, 35.2N,  75.6W,90.0,942.0,15.0
19850927, HU, 40.6N,  73.3W,75.0,961.0,10.0
19851029, HU, 29.5N,  91.4W,65.0,974.0,15.0
19851121, HU, 30.0N,  85.4W,85.0,967.0,10.0
19860626, HU, 29.6N,  94.2W,75.0,990.0,10.0
19860817, HU, 34.7N,  76.5W,65.0,990.0,15.0
19871012, HU, 25.1N,  80.5W,65.0,993.0,10.0
19880909, HU, 28.5N,  89.3W,70.0,982.0,15.0
19890801, HU, 29.6N,  94.4W,70.0,986.0,15.0
19890918, HU, 17.7N,  64.8W,120.0,940.0,10.0
19890918, HU, 18.2N,  65.5W,110.0,945.0,15.0
19890918, HU, 18.3N,  65.6W,110.0,946.0,15.0
19890922, HU, 32.8N,  79.8W,120.0,934.0,20.0
19891016, HU, 29.2N,  95.0W,75.0,983.0,10.0
19910819, HU, 41.2N,  71.6W,90.0,962.0,25.0
19920824, HU, 25.5N,  80.3W,145.0,922.0,10.0
19920826, HU, 29.6N,  91.5W,100.0,956.0,20.0
