,Month,Year,Type,Country,Area,Activity,Sex,Age,Fatal (Y/N)
252,May,2023,Unprovoked,USA,New Jersey,Surfing,F,15.0,N
254,August,2022,Unprovoked,USA,South Carolina,Standing,F,22.0,N
255,August,2021,Unprovoked,USA,Florida,Surfing,M,35.0,N
259,June,2021,Unprovoked,USA,Florida,Standing,M,12.0,N
261,November,2020,Unprovoked,USA,Hawaii,Snorkeling,F,35.0,N
262,August,2020,Unprovoked,USA,California,Kayak fishing,M,22.0,N
263,August,2020,Unprovoked,USA,Florida,Boogie boarding,F,50.0,N
264,July,2020,Unprovoked,USA,Alabama,Swimming,M,14.0,N
266,October,2019,Unprovoked,USA,Florida,Surfing,M,20.0,N
268,September,2019,Unprovoked,USA,Hawaii,Surfing,F,22.0,N
269,August,2019,Unprovoked,USA,Hawaii,Surfing,M,16.0,N
273,August,2018,Unprovoked,USA,Massachusetts,Swimming,M,61.0,N
274,July,2018,Unprovoked,USA,Florida,Wading,M,17.0,N
275,June,2018,Provoked,USA,Florida,Fishing,M,22.0,N
276,September,2017,Unprovoked,USA,Florida,Surfing,M,17.0,N
282,December,2015,Unprovoked,USA,Hawaii,Paddle boarding,M,71.0,N
285,June,2015,Unprovoked,USA,North Carolina,Swimming,M,18.0,N
286,June,2015,Unprovoked,USA,Florida,Attempting to rescue a shark,F,17.0,N
288,November,2014,Unprovoked,USA,Florida,Surfing,M,44.0,N
292,December,2013,Unprovoked,USA,Hawaii,Kayaking / Fishing,M,57.0,Y
308,June,2008,Unprovoked,USA,Florida,Wading,F,35.0,N
310,October,2007,Unprovoked,USA,Hawaii,Floating,M,32.0,N
312,August,2007,Unprovoked,USA,Florida,Surfing,M,16.0,N
313,July,2007,Unprovoked,USA,California,Surfing,M,20.0,N
315,May,2007,Unprovoked,USA,Florida,Surfing,F,21.0,N
316,May,2007,Unprovoked,USA,Hawaii,Snorkeling,F,63.0,N
318,May,2006,Unprovoked,USA,Hawaii,Surfing,M,31.0,N
319,May,2006,Unprovoked,USA,Guam,Scuba diving,F,35.0,N
320,November,2005,Unprovoked,USA,California,Surfing,M,25.0,N
321,June,2005,Unprovoked,USA,Texas,Wading,M,6.0,N
322,May,2005,Unprovoked,USA,Hawaii,Surfing,M,47.0,N
325,September,2003,Unprovoked,USA,Florida,Surfing,M,21.0,N
326,September,2003,Unprovoked,USA,South Carolina,"Standing, stepped on shark",M,15.0,N
328,May,2003,Unprovoked,USA,Florida,Walking,F,9.0,N
329,April,2003,Unprovoked,USA,Florida,Surfing,M,23.0,N
332,September,2001,Unprovoked,USA,North Carolina,Swimming,F,23.0,N
333,January,2001,Unprovoked,USA,California,Surfing,M,22.0,N
336,October,2000,Unprovoked,USA,Florida,Swimming,M,69.0,N
341,June,1999,Unprovoked,USA,Florida,Surfing,M,21.0,N
342,June,1999,Unprovoked,USA,Florida,Splashing / wading,M,5.0,N
346,April,1998,Unprovoked,USA,Oregon,Surfing (lying prone on his board),M,50.0,N
349,August,1997,Unprovoked,USA,Texas,Wading,F,10.0,N
353,September,1995,Unprovoked,USA,Florida,Swimming,F,19.0,N
355,November,1992,Unprovoked,USA,California,Scuba diving (submerged),M,40.0,N
358,November,1991,Unprovoked,USA,Hawaii,Snorkeling,F,41.0,Y
359,July,1991,Unprovoked,USA,Florida,Swimming,M,22.0,N
361,October,1990,Unprovoked,USA,Florida,Surfing,M,50.0,N
362,August,1990,Unprovoked,USA,Texas,Wade fishing,M,18.0,N
365,April,1989,Unprovoked,USA,Florida,Swimming,M,19.0,N
367,June,1988,Unprovoked,USA,South Carolina,Sittting in water with his child,M,37.0,N
369,January,1988,Provoked,USA,Louisiana,Fishing,M,22.0,N
370,December,1986,Unprovoked,USA,California,Free diving  & spearfishing (submerged),M,27.0,N
373,January,1983,Provoked,USA,South Carolina,Fishing,M,43.0,N
375,September,1981,Unprovoked,USA,Florida,Surfing,M,28.0,N
377,August,1980,Unprovoked,USA,Hawaii,Resting on body board,M,22.0,N
380,March,1979,Unprovoked,USA,Florida,Surfing,M,27.0,N
381,March,1979,Unprovoked,USA,California,Scuba diving (submerged),M,22.0,N
382,January,1979,Unprovoked,USA,Hawaii,Fishing,M,22.0,Y
383,August,1978,Unprovoked,USA,California,Wading,M,22.0,N
384,August,1976,Unprovoked,USA,Oregon,Surfing,M,19.0,N
394,September,1969,Unprovoked,USA,California,Free diving for abalone,M,53.0,N
399,June,1968,Unprovoked,USA,Florida,Clamming,M,17.0,N
400,July,1966,Unprovoked,USA,Texas,Fishing,M,14.0,N
409,April,1963,Unprovoked,USA,Hawaii,Surfing,M,15.0,N
412,June,1962,Unprovoked,USA,Florida,Rolled off raft,M,11.0,N
415,April,1961,Unprovoked,USA,Florida,Spearfishing,M,22.0,N
420,April,1958,Provoked,USA,Florida,Free diving,M,29.0,N
422,February,1958,Provoked,USA,US Virgin Islands,Spearfishing on Scuba,M,18.0,N
423,July,1956,Unprovoked,USA,South Carolina,Swimming,M,7.0,N
486,July,2023,Unprovoked,USA,Florida,Spearfishing,M,22.0,N
489,September,2022,Unprovoked,USA,Florida,Spearfishing,M,26.0,N
491,March,2022,Unprovoked,USA,Florida,Surfing,M,20.0,N
494,July,2021,Unprovoked,USA,New York,Swimming,M,22.0,N
497,September,2020,Unprovoked,USA,Florida,Snorkeling,M,30.0,N
499,March,2020,Unprovoked,USA,Florida,Surfing,M,22.0,N
500,February,2020,Unprovoked,USA,Maui,Stand-Up Paddle boarding,M,22.0,N
504,September,2018,Unprovoked,USA,Florida,Surfing,M,60.0,N
507,December,2017,Unprovoked,USA,California,Surfing,F,35.0,N
513,July,2017,Unprovoked,USA,Florida,Skimboarding,M,15.0,N
514,June,2017,Unprovoked,USA,Florida,Surfing,M,22.0,N
517,October,2016,Unprovoked,USA,Florida,Surfing,M,41.0,N
519,September,2016,Unprovoked,USA,Hawaii,Swimming,F,51.0,N
520,June,2016,Unprovoked,USA,Florida,Swimming,M,64.0,N
523,October,2015,Unprovoked,USA,Florida,Body boarding,M,22.0,N
524,July,2015,Unprovoked,USA,Florida,Surfing,M,25.0,N
525,October,2014,Unprovoked,USA,Florida,Surfing,M,29.0,N
527,November,2013,Unprovoked,USA,Florida,Surfing,M,22.0,N
528,September,2013,Unprovoked,USA,Florida,Surfing,F,13.0,N
530,August,2013,Unprovoked,USA,Florida,Fishing,M,17.0,N
536,October,2012,Unprovoked,USA,Hawaii,Paddle boarding,M,55.0,N
538,September,2012,Unprovoked,USA,Florida,Surfing,M,37.0,N
540,May,2012,Unprovoked,USA,California,Paddle boarding,F,15.0,N
549,March,2009,Unprovoked,USA,Florida,Surfing,F,17.0,N
551,September,2008,Unprovoked,USA,Florida,Swimming,M,32.0,N
552,August,2008,Unprovoked,USA,Florida,Surfing,M,19.0,N
555,August,2007,Unprovoked,USA,Florida,Walking out of the water after surfing,M,19.0,N
